"pattern_id","pattern_name","liujing","symptom_list","pulse_list","tongue_list","jianjia_list","clause"
"fj:DaHuangMuDanTang_JinKui","大黄牡丹汤证（肠痈）","lj:Yangming_Instance","ShaoFuZhongPi,AnZhiJiTong,FaRe,ZiHan,EHan","","","","【金匮18-4】"
"fj:ZhiShiSan","枳实散证","lj:Jueyin_Instance","GuShan","","","","【金匮19-7】"
"fj:GuiZhiFuLingWan","桂枝茯苓丸证","lj:Jueyin_Instance","ZhengJia,LouXiaBuZhi,TaiDong","","","","【金匮20-2】"
"fj:JiaoAiTang","胶艾汤证","lj:Taiyin_Instance","BanChanHouXuXiaXue,FuTong","","","","【金匮20-4】"
"fj:DangGuiShaoYaoSan","当归芍药散证","lj:Taiyin_Instance","FuZhongJiaoTong,ShuiZhong","","","","【金匮20-5】"
"fj:GanJiangRenShenBanXiaWan","干姜人参半夏丸证","lj:Taiyin_Instance","RenShen,OuTuBuZhi","","","","【金匮20-6】"
"fj:DangGuiBeiMuKuShenWan","当归贝母苦参丸证","lj:Shaoyin_Instance","RenShen,XiaoBianNan","","","","【金匮20-7】"
"fj:KuiHuaFuLingSan","葵子茯苓散证","lj:Taiyang_Instance","RenShen,ShuiQi,XiaoBianBuLi,TouXuan","","","","【金匮20-8】"
"fj:DangGuiSan","当归散证","lj:Taiyin_Instance","RenShen,ChangFu","","","","【金匮20-9】"
"fj:XiaoChaiHuTang_ChanHou","小柴胡汤证（产后郁冒）","lj:Shaoyang_Instance","ChanHou,YuMao,OuBuNengShi,DaBianJian,DanTouHanChu","mx:Pulse_Wei, mx:Pulse_Ruo","","","【金匮21-2】"
"fj:DaChengQiTang_ChanHou","大承气汤证（产后胃实）","lj:Yangming_Instance","ChanHou,YuMaoJie,NengShi,BaQiRiGengFaRe","","","","【金匮21-3】"
"fj:DangGuiShengJiangYangRouTang_ChanHou","当归生姜羊肉汤证（产后腹痛）","lj:Taiyin_Instance","ChanHou,FuZhongJiaoTong","","","","【金匮21-4】"
"fj:ZhiShiShaoYaoSan","枳实芍药散证","lj:Jueyin_Instance","ChanHou,FuTong,FanManBuDeWo","","","","【金匮21-5】"
"fj:XiaYuXueTang","下瘀血汤证","lj:Jueyin_Instance","ChanHou,FuZhongYouYuXueZhuQiXia","","","","【金匮21-6】"
"fj:ZhuYeTang","竹叶汤证","lj:Taiyang_Instance","ChanHou,ZhongFeng,FaRe,MianChi,TouTong,HanChu,Chuan","mx:Pulse_Xian, mx:Pulse_Shu","","","【金匮21-7】"
"fj:ZhuPiDaWan","竹皮大丸证","lj:Jueyin_Instance","ChanHou,FanLuan,OuNi,WuWaiZheng","","","","【金匮21-8】"
"fj:BaiTouWengJiaGanCaoEJiaoTang","白头翁加甘草阿胶汤证（产后下利）","lj:Jueyin_Instance","ChanHou,XiaLi","mx:Pulse_Xu, mx:Pulse_Ji","","","【金匮21-9】"
"fj:BanXiaHouPoFuLingShengJiangTang","半夏厚朴茯苓生姜汤证","lj:Jueyin_Instance","YanZhongRuYouZhiRou","","","","【金匮22-5】"
"fj:GanCaoXiaoMaiDaZaoTang","甘草小麦大枣汤证","lj:Jueyin_Instance","ZangZao,BeiShangYuKu,ShuQianShen,XiangRuShenLingSuoZuo","","","","【金匮22-6】"
"fj:WenJingTang_Fuke","温经汤证（妇人杂病）","lj:Jueyin_Instance","NianWuShiSuo,XiaXueShuRiBuZhi,MuJiFaRe,ShaoFuLiJi,FuMan,ShouZhangFanRe,ChunKouGanZao","","","","【金匮22-9】"
"fj:TuGuaGenSan","土瓜根散证","lj:Jueyin_Instance","JingShuiBuLi,ShaoFuManTong,HuoYiYueZaiJing","","","","【金匮22-10】"
"fj:XuanFuHuaTang_Fuke","旋覆花汤证（妇人半产漏下）","lj:Jueyin_Instance","BanChan,LouXia","","","","【金匮22-11】"
"fj:JiaoJiangTang","胶姜汤证","lj:Taiyin_Instance","FuRenXianJingLouXia,SeHeiRuKuai","","","","【金匮22-12】"
"fj:DaHuangGanSuiEJiaoTang","大黄甘遂阿胶汤证","lj:Taiyin_Instance","FuRenShaoFuManRuDunZhuang,XiaoBianWeiNan,BuKe","","","","【金匮22-13】"
"fj:DiDangTang_Fuke","抵当汤证（妇人经水不利）","lj:Taiyang_Instance","FuRenShiFuTong,JingShuiShiXingShiZhi","","","","【金匮22-14】"
"fj:FanShiWan","矾石丸证","lj:Jueyin_Instance","FuRenJingShuiBi,ZangJianBi,XiaBaiWuBuZhi","","","","【金匮22-15】"
"fj:HongLanHuaJiu","红蓝花酒证","lj:Jueyin_Instance","FuRenLiuShiErZhongFeng,FuZhongQiXueRuCiTong","","","","【金匮22-16】"
"fj:DangGuiShaoYaoSan_Fuke","当归芍药散证（妇人腹中痛）","lj:Taiyin_Instance","FuRenFuZhongZhuJiTong","","","","【金匮22-17】"
"fj:XiaoJianZhongTang_Fuke","小建中汤证（妇人腹中痛）","lj:Taiyin_Instance","FuRenFuZhongZhuJiTong","","","","【金匮22-18】"
"fj:ShenQiWan_Fuke","肾气丸证（妇人转胞）","lj:Shaoyin_Instance","FuRen,YinShiRuGu,FanReBuDeWo,ErFanYiXi","","","","【金匮22-19】"
"fj:SheChuangZiSan","蛇床子散证","lj:Jueyin_Instance","FuRenYinHan","","","","【金匮22-20】"
"fj:LangYaTang","狼牙汤证","lj:Jueyin_Instance","YinZhongChuang,ShiLan","","","","【金匮22-21】"
"fj:ZhuGaoFaJian_Fuke","猪膏发煎证（妇人阴吹）","lj:Yangming_Instance","WeiQiXiaXie,YinChuiErXuan,RuShiQi","","","","【金匮22-22】"
"fj:JiGuanZiSan","鸡冠子散证","lj:Jueyin_Instance","NanRenGuShan,NvRenYinTui","","","","【金匮附方】"
"fj:ZiShiYingWan","紫石英丸证","lj:Jueyin_Instance","FengHan,FuRenJingShuiBuDiao","","","","【金匮附方】"
"fj:ZhiShiTang","枳实汤证","lj:Yangming_Instance","ShiJi,FuZhang","","","","【金匮附方】"
"fj:MuXiangSan","木香散证","lj:Jueyin_Instance","QiNi,FuTong","","","","【金匮附方】"
"fj:YuLiangWan","禹余粮丸证","lj:Taiyin_Instance","JingShuiBuDiao,XiaLi","","","","【金匮附方】"
"fj:ZhiShiFuZiTang","枳实附子汤证","lj:Taiyin_Instance","HanShan,FuTong","","","","【金匮附方】"
"fj:DangGuiLiuHuangTang","当归硫黄汤证","lj:Shaoyin_Instance","YangXu,JingShuiBuDiao","","","","【金匮附方】"
"fj:FuLingSan","茯苓散证","lj:Taiyin_Instance","ShuiQi,XiaoBianBuLi","","","","【金匮附方】"
"fj:ZhuLingSan","猪苓散证","lj:Taiyang_Instance","ShuiQi,XiaoBianBuLi","","","","【金匮附方】"
"fj:ZeXieWan","泽泻丸证","lj:Taiyin_Instance","XuanYin,Ke","","","","【金匮附方】"
"fj:MuLiSan","牡蛎散证","lj:Jueyin_Instance","XuFan,HanChu","","","","【金匮附方】"
"fj:FuLingGuiZhiWan","茯苓桂枝丸证","lj:Taiyin_Instance","ShuiQi,XinJi","","","","【金匮附方】"
"fj:ZhiShiGanCaoTang","枳实甘草汤证","lj:Yangming_Instance","FuZhang,DaBianJian","","","","【金匮附方】"
"fj:BanXiaSan","半夏散证","lj:Taiyang_Instance","YanTong","","","","【金匮附方】"
"fj:GuiZhiHuangLianTang","桂枝黄连汤证","lj:Jueyin_Instance","ReLi,FuTong","","","","【金匮附方】"
"fj:HuangQinSan","黄芩散证","lj:Shaoyang_Instance","ReLi,FuTong","","","","【金匮附方】"
"fj:FuLingBanXiaTang","茯苓半夏汤证","lj:Taiyin_Instance","OuTu,XinXiaPi","","","","【金匮附方】"
"fj:ZhiZiSan","栀子散证","lj:Yangming_Instance","XuFan,HanChu","","","","【金匮附方】"
"fj:ShiGaoSan","石膏散证","lj:Yangming_Instance","DaKe,ShenRe","","","","【金匮附方】"
"fj:ZhiMuSan","知母散证","lj:Yangming_Instance","Re,Ke","","","","【金匮附方】"
"fj:ShengDiHuangWan","生地黄丸证","lj:Shaoyin_Instance","XuLao,ShaoFuTong","","","","【金匮附方】"
"fj:DanPiSan","丹皮散证","lj:Jueyin_Instance","YuXue,ShaoFuTong","","","","【金匮附方】"
"fj:ChaiHuSan","柴胡散证","lj:Shaoyang_Instance","WangLaiHanRe,XiongMan","","","","【金匮附方】"
"fj:QinPiSan","秦皮散证","lj:Jueyin_Instance","ReLi,YanTong","","","","【金匮附方】"
"fj:ZiShenTang","紫参汤证（附）","lj:Jueyin_Instance","XiaLi,FuTong","","","","【金匮附方】"
"fj:LiuHuangSan","硫黄散证","lj:Shaoyin_Instance","YangXu,HanZheng","","","","【金匮附方】"
"fj:XiongHuangWan","雄黄丸证","lj:Taiyang_Instance","ChongDu,FuTong","","","","【金匮附方】"
"fj:ZhuShaWan","朱砂丸证","lj:Jueyin_Instance","JingKong,XinJi","","","","【金匮附方】"
"fj:SuHeXiangWan","苏合香丸证","lj:Jueyin_Instance","JueNi,FuTong","","","","【金匮附方】"
"fj:SheXiangWan","麝香丸证","lj:Jueyin_Instance","ZhongE,FuTong","","","","【金匮附方】"
